team1,team2,toss_winner,toss_decision,venue,city,winner,team1_win_rate,team2_win_rate,team1_venue_wins,head_to_head_advantage
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,0.5799086757990868,0.49261083743842365,28,3
Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.43891402714932126,40,9
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.5512820512820513,26,-1
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,0.4711111111111111,0.5512820512820513,20,-5
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.49261083743842365,14,-4
Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Wankhede Stadium,Mumbai,Rajasthan Royals,0.4419642857142857,0.49261083743842365,3,-1
Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Wankhede Stadium,Mumbai,Chennai Super Kings,0.5799086757990868,0.43891402714932126,7,2
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Mumbai,Rajasthan Royals,0.5799086757990868,0.49261083743842365,1,3
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,Cape Town,Mumbai Indians,0.5799086757990868,0.5512820512820513,0,-3
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Newlands,Cape Town,Royal Challengers Bengaluru,0.4711111111111111,0.49261083743842365,1,1
Delhi Capitals,Punjab Kings,Delhi Capitals,field,Newlands,Cape Town,Delhi Capitals,0.4419642857142857,0.43891402714932126,1,-1
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,Port Elizabeth,Chennai Super Kings,0.4711111111111111,0.5799086757990868,0,-10
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Durban,Kolkata Knight Riders,0.43891402714932126,0.5110132158590308,2,-9
Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Kingsmead,Durban,Delhi Capitals,0.5799086757990868,0.4419642857142857,1,8
